Event.ID	Disease	Serotype	Diagnosis.source	Diagnosis.status	Animal.type	Species	Observation.date..dd.mm.yyyy.	Report.date..dd.mm.yyyy.	Humans.affected	Human.deaths	Latitude	Longitude	Original location	Country	Admin. level 1	Locality	Country OSM ID	Admin. level 1 OSM ID	Locality OSM ID
286771	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Whooper Swan:cygnus Cygnus(Anatidae)	08/01/2021	17/01/2021			35.310375	128.672492							
286731	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	07/01/2021	15/01/2021			43.761179	-0.486737							
286732	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	07/01/2021	15/01/2021			43.8947	-0.258							
287482	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	07/01/2021	28/01/2021			43.641	-0.485							
286274	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	06/01/2021	13/01/2021			53.44	19.03							
287007	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	06/01/2021	22/01/2021			43.3017	-0.3686							
287478	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	05/01/2021	28/01/2021			43.653	-0.918							
286678	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	04/01/2021	15/01/2021			43.793884	-0.005935							
286683	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	04/01/2021	15/01/2021			43.786935	-0.563469							
286674	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	03/01/2021	15/01/2021			43.6044	-1							
286215	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	01/01/2021	08/01/2021			43.716362	-0.861436							
286199	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	30/12/2020	08/01/2021			43.690612	-0.669493							
285604	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	27/12/2020	30/12/2020			51.97	14.59							
285561	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	22/12/2020	30/12/2020			37.086236	126.881069							
285547	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Anatidae (Unidentified)	21/12/2020	28/12/2020			53.75	9.98							
285523	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	13/12/2020	28/12/2020			31.907724	131.428197							
285602	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	13/12/2020	28/12/2020			33.75	133.5							
285182	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Whooper Swan:cygnus Cygnus(Anatidae)	06/12/2020	18/12/2020			52.43	0.1							
285179	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Whooper Swan:cygnus Cygnus(Anatidae)	03/12/2020	18/12/2020			53.21	-0.34							
285177	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Swan	02/12/2020	18/12/2020			50.65	-2.6							
284014	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Anatidae (Unidentified)	01/12/2020	06/12/2020			33.051057	35.608884							
284396	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Swan	28/11/2020	11/12/2020			54.41	9.97							
285383	Influenza - Avian	H5 HPAI	OIE	Confirmed	Wild	Goose	28/11/2020	24/12/2020			51.2468	3.2236							
284013	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	20/11/2020	06/12/2020			32.690157	35.194605							
285155	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	19/11/2020	15/12/2020			34.182194	133.714508							
282831	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Magpie	18/11/2020	22/11/2020			51.188259	3.004813							
283361	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Goose	18/11/2020	27/11/2020			51.23424	2.91424							
284371	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Grey Heron	17/11/2020	11/12/2020			52.2	-1.63							
282969	Influenza - Avian	H5 HPAI	OIE	Confirmed	Wild	Eurasian Wigeon (Anas Penelope)	14/11/2020	21/11/2020			44.974634	12.466154							
282828	Influenza - Avian	H5N8 HPAI	National authorities	Confirmed	Domestic	Turkey	13/11/2020	18/11/2020			55.403746	14.090864							
283363	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Anatidae (Unidentified)	09/11/2020	27/11/2020			53.41	8.18							
284425	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Black Swan (Cygnus Atratus)	08/11/2020	11/12/2020			50.7218	-3.533617							
282401	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Anatidae (Unidentified)	07/11/2020	16/11/2020			51	3							
282012	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Anatidae (Unidentified)	06/11/2020	09/11/2020			54.38	13.26							
282066	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Goose	05/11/2020	10/11/2020			55.0097	8.7761							
282020	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Anatidae (Unidentified)	04/11/2020	09/11/2020			54.16	9.08							
282699	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Anatidae (Unidentified)	04/11/2020	17/11/2020			53.51	8.1							
284358	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Mute Swan:cygnus Olor(Anatidae)	03/11/2020	11/12/2020			51.74	-2.4							
285202	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Accipitridae (Accipitridae)	03/11/2020	18/12/2020			54.35	9.02							
282533	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Anatidae (Unidentified)	02/11/2020	17/11/2020			53.37	8.52							
282309	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	01/11/2020	13/11/2020			53.450835	50.365942							
285251	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Swan	30/10/2020	18/12/2020			54.470038	9.51416							
283342	Influenza - Avian	H7 LPAI	OIE	Confirmed	Domestic	Unspecified Bird	16/09/2020	23/11/2020			-33.8	22.1							
298554	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	16/09/2020	15/07/2021			15.6633	106.3867							
278933	Influenza - Avian	H5N5 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	11/09/2020	21/09/2020			23.537645	120.200729							
277485	Influenza - Avian	H7N7 HPAI	OIE	Confirmed	Domestic	Chicken	23/08/2020	25/08/2020			-37.9667	144.1333							
277386	Influenza - Avian	H5 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	11/08/2020	25/08/2020			54.347136	71.56886							
277455	Influenza - Avian	H5N2 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	08/08/2020	24/08/2020			23.70719	120.49166							
272227	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	07/05/2020	15/05/2020			46.56871	19.60637							
271355	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	27/04/2020	30/04/2020			46.60214	19.47559							
270353	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	09/04/2020	16/04/2020			46.34587	19.40784							
270328	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	06/04/2020	16/04/2020			46.493294	19.689126							
272077	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	22/03/2020	01/04/2020			46.438786	19.850685							
267398	Influenza - Avian	H5N2 HPAI	OIE	Confirmed	Domestic	Turkey	08/03/2020	27/03/2020			23.665922	120.38853							
273466	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Wild	Owl	23/02/2020	02/06/2020			23.46756	85.45409							
